time,D_avg,D_max,D_min,a,b,strain,strain_rate
0,-nan,-inf,inf,0,0,0,nan
0.001,0.0067796610169492,0.0067796610169492,0.0067796610169492,0.0004,0.059,1.2902716748984e-06,0.0012902716748984
0.003,0.0070702905731021,0.0080382550524962,0.0067796610169492,0.00041714714381303,0.059,3.8640176365144e-06,0.001286872980808
0.007,0.0070705179600582,0.0080392414539531,0.0067796610169492,0.00041716055964344,0.059,9.0094938175719e-06,0.0012863690452644
0.015,0.0070706490255551,0.0080397753561515,0.0067796610169492,0.00041716829250775,0.059,1.9300684122376e-05,0.0012863987881005
0.031,0.0070707284129526,0.0080400872294206,0.0067796610169492,0.0004171729763642,0.059,3.988396936079e-05,0.0012864553274008
0.063,0.0070707804452336,0.0080402857174643,0.0067796610169492,0.00041717604626878,0.059,8.105420255735e-05,0.0012865697873925
0.127,0.0070708183597415,0.0080404262002062,0.0067796610169492,0.00041717828322475,0.059,0.00016340932465143,0.0012867987827201
0.255,0.0070708497611507,0.0080405390760224,0.0067796610169492,0.00041718013590789,0.059,0.00032817821988649,0.0012872569940239
0.511,0.0070708796589496,0.0080406433466866,0.0067796610169492,0.00041718189987793,0.058999999999987,0.00065795225357751,0.0012881798191055
1.023,0.0070709122856014,0.0080407540170222,0.0067796610169492,0.00041718382485,0.058999999999932,0.0012972337317163,0.0012485966369899
1.1254,0.0070710087239515,0.0080411502092749,0.0067796610169492,0.00041718620477856,0.058999551959148,0.001298913088754,1.6399971071254e-05
1.2278,0.007071104276526,0.0080415053735757,0.0067796610169492,0.00041719040281985,0.058999357048833,0.0013005751241806,1.6230814712884e-05
1.4326,0.0070712038849606,0.0080418797058809,0.0067796610169492,0.00041719460779433,0.058999130687394,0.0013038306306959,1.5896027906583e-05
1.8422,0.0070713266015978,0.0080791250115749,0.0067796610169492,0.0004171978714421,0.058998592289545,0.0013101013560441,1.530938805715e-05
2.6614,0.0070715449993524,0.0081823554681814,0.0067796610169492,0.00041720052914129,0.058997207635342,0.0013218578474197,1.4351185761206e-05
4.2998,0.0070720594093976,0.0083598575722191,0.0067796610169492,0.00041720285331624,0.05899341435051,0.0013430700518176,1.2946902098352e-05
7.5766,0.0070734310663547,0.0086481336555874,0.0067796610169492,0.00041720512734851,0.058982776950612,0.001379574033601,1.114013115948e-05
14.1302,0.0070771353159363,0.0090878303942491,0.0067796610169492,0.00041720773299061,0.058953635638495,0.0014391169569805,9.0855290801314e-06
27.2374,0.0070866622558852,0.0097183559871642,0.0067796610169492,0.00041721130920359,0.058878686061661,0.0015313297117732,7.0352748712687e-06
53.4518,0.0071092398674974,0.010581870117054,0.0067796610169492,0.0004172170429699,0.058702987408145,0.0016674747641294,5.1935215895137e-06
105.8806,0.0071575260553365,0.011732670341514,0.0067796610169492,0.00041722701917496,0.058336745823965,0.0018599192338631,3.6705869623888e-06
210.7382,0.0072492949037585,0.013245625707135,0.0067796610169492,0.00041724436083213,0.05767252004822,0.002123524835675,2.5139389210886e-06
420.4534,0.0074042563906603,0.015216030190723,0.0067796610169492,0.00041727306750959,0.0566305446596,0.0024804751079804,1.7020715346594e-06
839.8838,0.0076411811321835,0.017738698571338,0.0067796610169492,0.00041731813290122,0.055194388643313,0.0029659758229549,1.1575239061701e-06
1678.7446,0.0079776702046516,0.02087153123447,0.0067796610169492,0.00041738659031036,0.053408770684193,0.00363455739564,7.9701134286527e-07
3356.4662,0.0084321989942415,0.024652440787475,0.0067796610169492,0.00041748941418577,0.051349308978591,0.0045614176619983,5.5245176932711e-07
6711.9094,0.0090232552999481,0.029189862138197,0.0067796610169492,0.00041764364449159,0.049108048395005,0.0058486996032099,3.8363991415849e-07
13422.7958,0.0097705289351224,0.034640099706296,0.0067796610169492,0.00041787708501079,0.046773765930074,0.0076526623553505,2.6881139757343e-07
23422.7958,0.010704339519511,0.041257286241434,0.0067796610169492,0.00041824125187269,0.044401417528115,0.0096881001019099,2.0354377465594e-07
33422.7958,0.011670381636029,0.048066080023133,0.0067796610169492,0.00041870214228441,0.042400336525878,0.011400704024888,1.7126039229782e-07
43422.7958,0.01245050244816,0.053850786640518,0.0067796610169492,0.00041912803213074,0.041034835004949,0.012924591051077,1.5238870261886e-07
53422.7958,0.013117201443537,0.059902853909814,0.0067796610169492,0.00041953794548915,0.040004004367096,0.01432684663642,1.4022555853431e-07
63422.7958,0.013708489973067,0.06550622909488,0.0067796610169492,0.00041994196689007,0.039175870705269,0.015645749600557,1.3189029641375e-07
73422.7958,0.014246462499244,0.070841004531928,0.0067796610169492,0.00042034618569223,0.038482385265118,0.016905392171799,1.2596425712414e-07
83422.7958,0.014745083754315,0.076027069003106,0.0067796610169492,0.00042075472114376,0.037884279867748,0.018121930515686,1.2165383438872e-07
93422.7958,0.015213716030709,0.081149897099291,0.0067796610169492,0.00042117057390628,0.037357042526245,0.01930676179798,1.1848312822946e-07
103422.7958,0.015658943108235,0.086274353883941,0.0067796610169492,0.00042159608338543,0.03688442034277,0.020468049180662,1.161287382682e-07
113422.7958,0.016085510379009,0.091452286442779,0.0067796610169492,0.00042203310516494,0.036455189704582,0.021612448292763,1.144399112101e-07
123422.7958,0.016497142256913,0.096728656083833,0.0067796610169492,0.00042248338302751,0.036061106746489,0.022744832497254,1.132384204491e-07
133422.7958,0.016896632989929,0.10214334752157,0.0067796610169492,0.00042294838304743,0.035696134762584,0.023869121502712,1.1242890054575e-07
143422.7958,0.017286202302421,0.10773360991926,0.0067796610169492,0.00042342946650445,0.035355665375625,0.024988505813069,1.1193843103571e-07
153422.7958,0.01766764805028,0.11353536871658,0.0067796610169492,0.00042392792854906,0.035036102018707,0.026105627492038,1.1171216789691e-07
163422.7958,0.018042452012579,0.11958413228298,0.0067796610169492,0.0004244450157343,0.0347345862618,0.027222709961198,1.11708246916e-07
173422.7958,0.018411855655198,0.12591578470459,0.0067796610169492,0.00042498195771406,0.034448812317063,0.028341650672532,1.1189407113339e-07
183422.7958,0.018776915010998,0.13256738204122,0.0067796610169492,0.00042553997838846,0.034176891600964,0.029464091390249,1.1224407177171e-07
193422.7958,0.019138541499433,0.13957790961037,0.0067796610169492,0.00042612031328007,0.033917258356104,0.030591469833596,1.1273784433473e-07
203422.7958,0.019497532312574,0.14698909900934,0.0067796610169492,0.00042672421972029,0.03366859974532,0.03172506000009,1.133590166494e-07
213422.7958,0.019854593951712,0.15484618006708,0.0067796610169492,0.00042735298971211,0.033429804952704,0.03286600459423,1.1409445941396e-07
223422.7958,0.020210360820319,0.16319874311302,0.0067796610169492,0.00042800795695644,0.033199922650782,0.034015339143662,1.1493345494322e-07
233422.7958,0.020565409344125,0.17210152430017,0.0067796610169492,0.0004286905085071,0.032978134114921,0.035174012243443,1.1586730997807e-07
243422.7958,0.020920269623063,0.18161515211563,0.0067796610169492,0.00042940208863624,0.03276372706017,0.036342901624125,1.1688893806821e-07
253422.7958,0.021275435079015,0.19180666907849,0.0067796610169492,0.00043014421167306,0.032556079691361,0.037522827272936,1.1799256488108e-07
263422.7958,0.021631370216532,0.20274993120832,0.0067796610169492,0.00043091847000964,0.032354642957705,0.038714562579189,1.191735306253e-07
273422.7958,0.021988516680584,0.21452598547445,0.0067796610169492,0.00043172653794747,0.032158930765511,0.039918843633328,1.2042810541394e-07
283422.7958,0.022347298844806,0.22722369637336,0.0067796610169492,0.00043257018574215,0.031968511406586,0.041136376717487,1.2175330841585e-07
293422.7958,0.022708129166198,0.24094081578137,0.0067796610169492,0.00043345129375868,0.031782997224765,0.042367845847351,1.2314691298648e-07
303422.7958,0.023071412463316,0.25578537805237,0.0067796610169492,0.00043437186317022,0.031602039263174,0.043613917513339,1.246071665988e-07
313422.7958,0.023437549930838,0.27187754723228,0.0067796610169492,0.0004353340240706,0.031425320336504,0.044875245903538,1.2613283901986e-07
323422.7958,0.023806942668537,0.28935184380026,0.0067796610169492,0.00043634005225596,0.031252552057185,0.046152478365826,1.277232462288e-07
333422.7958,0.024179995286829,0.30835857533569,0.0067796610169492,0.00043739237768865,0.031083469513219,0.047446258613824,1.2937802479983e-07
343422.7958,0.024557118855879,0.32906382232324,0.0067796610169492,0.00043849360394129,0.030917830209692,0.048757229709929,1.3109710961046e-07
353422.7958,0.024938732912675,0.35164864718367,0.0067796610169492,0.00043964652120276,0.030755410022367,0.050086039041457,1.3288093315277e-07
363422.7958,0.02532527077131,0.37630621710694,0.0067796610169492,0.00044085413893204,0.030595999916185,0.051433340060065,1.3473010186083e-07
373422.7958,0.025717182888954,0.40323389266196,0.0067796610169492,0.00044211969578661,0.030439403854266,0.052799795859753,1.3664557996885e-07
383422.7958,0.02611494250287,0.432622098157,0.0067796610169492,0.00044344669280024,0.030285436760723,0.054186081785033,1.3862859252792e-07
393422.7958,0.026519049040783,0.4646424403596,0.0067796610169492,0.00044483891490762,0.030133922001892,0.055592888214128,1.4068064290952e-07
403422.7958,0.026930036036333,0.4994342449796,0.0067796610169492,0.00044630045812733,0.029984688204081,0.057020923214149,1.4280350000214e-07
413422.7958,0.027348478812418,0.53708882411286,0.0067796610169492,0.00044783576459306,0.029837570445249,0.05847091517029,1.4499919561405e-07
423422.7958,0.02777500243818,0.57763441462456,0.0067796610169492,0.0004494496470948,0.029692401982807,0.059943614924997,1.4726997547077e-07
433422.7958,0.02821028893707,0.62102617445926,0.0067796610169492,0.00045114735363412,0.029549021425829,0.061439799401743,1.4961844767453e-07
443422.7958,0.028655088954689,0.66714102346022,0.0067796610169492,0.00045293460387882,0.029407259371761,0.062960273267924,1.5204738661817e-07
453422.7958,0.029110231036923,0.7157734174637,0.0067796610169492,0.00045481762553202,0.029266960330071,0.064505872629117,1.5455993611924e-07
463422.7958,0.029576632697581,0.76663471718102,0.0067796610169492,0.00045680322059715,0.029127964053634,0.066077467279943,1.5715946508266e-07
473422.7958,0.03005532881628,0.81930018639348,0.0067796610169492,0.00045889885014404,0.028990131953095,0.06767596498278,1.5984977028367e-07
483422.7958,0.030547501915983,0.8730276197277,0.0067796610169492,0.00046111268595261,0.028853350911636,0.069302313291096,1.6263483083161e-07
493422.7958,0.031054702081135,0.92623115599548,0.0067796610169492,0.00046345369168745,0.028717464951771,0.07095772985055,1.6554165594541e-07
503422.7958,0.031579149449472,0.9748405424541,0.0067796610169492,0.00046593200543558,0.028582366686723,0.072643030624847,1.6853007742964e-07
513422.7958,0.032125456986522,1,0.0067796610169492,0.00046855816412588,0.028447826873454,0.074359322955379,1.7162923305327e-07
523422.7958,0.032691790191067,1,0.0067796610169492,0.00047133842274088,0.02831366017772,0.076107799984041,1.7484770286617e-07
533422.7958,0.033288127248654,1,0.0067796610169492,0.00047428880998809,0.028179399393454,0.077889709613384,1.7819096293428e-07
543422.7958,0.033918162225054,1,0.0067796610169492,0.00047741482257406,0.028044555862732,0.079706417491062,1.8167078776779e-07
553422.7958,0.034579859326738,1,0.0067796610169492,0.00048071621532368,0.027909267255283,0.081559309013274,1.8528915222117e-07
563422.7958,0.035266784130451,1,0.0067796610169492,0.00048420357913964,0.027773413134805,0.083450030912109,1.8907218988356e-07
573422.7958,0.03597062948474,1,0.0067796610169492,0.00048789853927124,0.027638774510934,0.085379419014922,1.9293881028127e-07
583422.7958,0.036712960376783,1,0.0067796610169492,0.00049183154385481,0.027502892434955,0.087349491080069,1.9700720651475e-07
584422.7958,0.037496853003607,1,0.0067796610169492,0.00049601772947468,0.027366020079054,0.087547102967382,1.9761188731303e-07
