time,D_avg,D_max,D_min,a,b,cauchy_stress_xx,strain,strain_rate
0,-nan,-inf,inf,0,0,0,0,nan
0.0001,0.067796610169491,0.067796610169492,0.067796610169492,0.004,0.059,2.6323652284029,2.9988e-05,0.29988
0.0003,0.085506499826534,0.28460065164655,0.067796610169492,0.0050448834897655,0.059,7.7345712871514,8.9964e-05,0.29988
0.0007,0.086399176984316,0.28460065164655,0.067796610169492,0.0050975514419601,0.058999999999295,19.839325651243,0.000209916,0.29988
0.0015,0.0866167196129,0.28460065164655,0.067796610169492,0.0051103864567902,0.058999999996435,44.082003529164,0.00044982,0.29988
0.0031,0.086670662665841,0.28460065164655,0.067796610169492,0.0051135690964795,0.058999999990748,92.553898635619,0.000929628,0.29988
0.0063,0.086685115976777,0.28460065164655,0.067796610169492,0.0051144218082968,0.058999999535565,188.91581490416,0.001889244,0.29988
0.0127,0.086698778131965,0.28460065164655,0.067796610169492,0.0051146840932842,0.058992989979028,302.91874534799,0.003808476,0.29988
0.0255,0.11392885883131,0.64713732712915,0.067796610169492,0.0051413508453764,0.047787829360121,373.13952253484,0.00764694,0.29988
0.033346672002134,0.18525688450654,1,0.067796610169492,0.0052378661967828,0.036443762267317,396.80825426439,0.01,0.29988
