time,D_avg,D_max,D_min,a,b,cauchy_stress_zz,strain,strain_rate
0,-nan,-inf,inf,0,0,0,0,nan
0.0001,0.0016949152542373,0.0016949152542373,0.0016949152542373,0.0001,0.059,3.0375001541483,2.9988e-05,0.29988
0.0003,0.0018157882321563,0.003074232519987,0.0016949152542373,0.00010713150569722,0.059,9.1121368201165,8.9964e-05,0.29988
0.0007,0.0018160822189226,0.0030811085379719,0.0016949152542373,0.00010714885091643,0.059,21.259959457903,0.000209916,0.29988
0.0015,0.0018163035776509,0.003085905523084,0.0016949152542373,0.0001071619110814,0.059,45.549785020579,0.00044982,0.29988
0.0031,0.0018164922320575,0.0030896484611731,0.0016949152542373,0.00010717304169026,0.05899999999955,94.106112185196,0.000929628,0.29988
0.0063,0.0018166764164346,0.0030929784585801,0.0016949152542373,0.00010718390856861,0.058999999999591,190.55752091529,0.001889244,0.29988
0.0127,0.0018168859504142,0.0030974350361215,0.0016949152542373,0.00010719609977286,0.058999931073009,300.01350326441,0.003808476,0.29988
0.0255,0.0018877793114143,0.0067182300569389,0.0016949152542373,0.00010747539979847,0.057737290296206,363.94789809434,0.00764694,0.29988
0.033346672002134,0.0023409403242617,0.019716310373827,0.0016949152542373,0.00010859942056518,0.05236739468308,386.74128507593,0.01,0.29988
