time,D_avg,D_max,D_min,a,b,cauchy_stress_zz,strain,strain_rate
0,-nan,-inf,inf,0,0,0,0,nan
0.0001,0.067796610169491,0.067796610169492,0.067796610169492,0.004,0.059,2.9524442587579,2.9988e-05,0.29988
0.0003,0.081466993092043,0.31812663959021,0.067796610169492,0.0048065525924305,0.059,8.8689655343524,8.9964e-05,0.29988
0.0007,0.082138386027265,0.31812663959021,0.067796610169492,0.0048461647755588,0.058999999999706,21.012838419922,0.000209916,0.29988
0.0015,0.082311191076749,0.31812663959021,0.067796610169492,0.004856360273195,0.058999999996413,45.301513551481,0.00044982,0.29988
0.0031,0.082354557042614,0.31812663959021,0.067796610169492,0.004858918864814,0.058999999991575,93.857498602237,0.000929628,0.29988
0.0063,0.082365769976398,0.31812663959021,0.067796610169492,0.0048595803675215,0.058999999131307,190.31143980911,0.001889244,0.29988
0.0127,0.082376820448337,0.31812663959021,0.067796610169492,0.0048597672699071,0.058993932508779,299.91357339363,0.003808476,0.29988
0.0255,0.099878932267401,0.72039470366456,0.067796610169492,0.0048777373577837,0.051098201158668,363.87725563659,0.00764694,0.29988
0.033346672002134,0.13876753126282,1,0.067796610169492,0.0049286850974596,0.042884226407567,386.39495227956,0.01,0.29988
