time,D_avg,D_max,D_min,a,b,cauchy_stress_zz,strain,strain_rate
0,-nan,-inf,inf,0,0,0,0,nan
0.0001,0.033898305084746,0.033898305084746,0.033898305084746,0.002,0.059,3.0268683094289,2.9988e-05,0.29988
0.0003,0.036508583682596,0.076121981691147,0.033898305084746,0.0021540064372732,0.059,9.0907414643945,8.9964e-05,0.29988
0.0007,0.036518757354783,0.076121981691147,0.033898305084746,0.0021546066839322,0.059,21.238555293754,0.000209916,0.29988
0.0015,0.036521426029724,0.076121981691147,0.033898305084746,0.0021547641357534,0.058999999999992,45.528356490584,0.00044982,0.29988
0.0031,0.036522351979568,0.076121981691147,0.033898305084746,0.0021548187667774,0.058999999999529,94.084651367653,0.000929628,0.29988
0.0063,0.036522768708887,0.076121981691147,0.033898305084746,0.0021548433538001,0.058999999999315,190.53673852112,0.001889244,0.29988
0.0127,0.036523036140116,0.076122863791307,0.033898305084746,0.0021548565070527,0.058999936079791,300.00596045904,0.003808476,0.29988
0.0255,0.037641635217349,0.12727981158351,0.033898305084746,0.0021568534154397,0.057751092545545,363.94320834811,0.00764694,0.29988
0.033346672002134,0.045189540758614,0.2862086389055,0.033898305084746,0.0021678495343562,0.052321429549302,386.71834458614,0.01,0.29988
