time,D_avg,D_max,D_min,a,b,cauchy_stress_zz,strain,strain_rate
0,-nan,-inf,inf,0,0,0,0,nan
0.0001,0.016949152542373,0.016949152542373,0.016949152542373,0.001,0.059,3.0361721282978,2.9988e-05,0.29988
0.0003,0.018017975416164,0.030442217641505,0.016949152542373,0.0010630605495537,0.059,9.108736119503,8.9964e-05,0.29988
0.0007,0.018019193956661,0.030467418664456,0.016949152542373,0.001063132443443,0.059,21.256554420999,0.000209916,0.29988
0.0015,0.018019904219371,0.030485196861933,0.016949152542373,0.0010631743489429,0.059,45.546374007697,0.00044982,0.29988
0.0031,0.018020310130889,0.030495676837095,0.016949152542373,0.001063198297716,0.058999999999742,94.102691086706,0.000929628,0.29988
0.0063,0.018020546870493,0.030501712257911,0.016949152542373,0.0010632122653542,0.058999999999812,190.55420076929,0.001889244,0.29988
0.0127,0.018020722443344,0.030514481512297,0.016949152542373,0.0010632210149035,0.058999933135454,300.01230487339,0.003808476,0.29988
0.0255,0.018667308371513,0.064627806087364,0.016949152542373,0.0010643642565231,0.057750656513791,363.94712669689,0.00764694,0.29988
0.033346672002134,0.022867775859659,0.17797937134814,0.016949152542373,0.0010704389675888,0.052372336387842,386.7373180212,0.01,0.29988
