time,D_avg,D_max,D_min,a,b,cauchy_stress_zz,strain,strain_rate
0,-nan,-inf,inf,0,0,0,0,nan
0.0001,0.0067796610169492,0.0067796610169492,0.0067796610169492,0.0004,0.059,3.0374163686814,2.9988e-05,0.29988
0.0003,0.0072405533029602,0.012161561628131,0.0067796610169492,0.00042719264487465,0.059,9.111908934597,8.9964e-05,0.29988
0.0007,0.0072412194635953,0.012178964118447,0.0067796610169492,0.00042723194835212,0.059,21.25973120254,0.000209916,0.29988
0.0015,0.007241603859655,0.012188761635793,0.0067796610169492,0.00042725462771965,0.059,45.549555561465,0.00044982,0.29988
0.0031,0.0072418381829154,0.012194499602376,0.0067796610169492,0.00042726845278802,0.0589999999996,94.105881072783,0.000929628,0.29988
0.0063,0.0072419934070797,0.012198092717901,0.0067796610169492,0.00042727761101423,0.058999999999653,190.55729479964,0.001889244,0.29988
0.0127,0.0072421213083977,0.012204435652786,0.0067796610169492,0.00042728448186282,0.058999931221395,300.01342065509,0.003808476,0.29988
0.0255,0.0075110263276315,0.026067359686253,0.0067796610169492,0.00042783400706967,0.05773831613848,363.94784397609,0.00764694,0.29988
0.033346672002134,0.0092438119147529,0.074380270007367,0.0067796610169492,0.00043058554901688,0.052367590517693,386.74100665652,0.01,0.29988
