time,D_avg,D_max,D_min,a,b,strain,strain_rate
0,-nan,-inf,inf,0,0,0,nan
0.001,0.00067796610169492,0.00067796610169492,0.00067796610169492,4e-05,0.059,1.28350942141e-06,0.00128350942141
0.003,0.00068582373349587,0.00079786485496329,0.00067796610169492,4.0463600276256e-05,0.059,3.850549293902e-06,0.001283519936246
0.007,0.00068584292666737,0.00079822687429639,0.00067796610169492,4.0464732673375e-05,0.059,8.98468037487e-06,0.001283532770242
0.015,0.00068586211190181,0.00079857596465993,0.00067796610169492,4.0465864602207e-05,0.059,1.925317118452e-05,0.0012835613512062
0.031,0.00068588368629286,0.00079895603635251,0.00067796610169492,4.0467137491278e-05,0.059,3.9791067434715e-05,0.0012836185156372
0.063,0.0006859107419024,0.00079941988654933,0.00067796610169492,4.0468733772242e-05,0.059,8.0870518893388e-05,0.0012837328580835
0.127,0.00068594790070661,0.00080004326126985,0.00067796610169492,4.047092614169e-05,0.059,0.0001630440610715,0.0012839615965331
0.255,0.00068600270616335,0.00080094713565776,0.00067796610169492,4.0474159663638e-05,0.059,0.00032744973012365,0.0012844192894699
0.511,0.00068608803113356,0.00080233517942154,0.00067796610169492,4.0479193836879e-05,0.058999999999999,0.00065649712445957,0.0012853413841247
1.023,0.00068622635787556,0.00080455879461978,0.00067796610169492,4.0487355114694e-05,0.059000000000049,0.0012948943339116,0.0012468695497109
1.1254,0.00068645547708258,0.00080842718884552,0.00067796610169492,4.0500824098144e-05,0.05899993367445,0.0012966751418506,1.7390702529693e-05
1.2278,0.00068673569929591,0.00081298638324143,0.00067796610169492,4.0517335318319e-05,0.058999904302433,0.0012984390184588,1.7225357502095e-05
1.4326,0.00068701537001334,0.00081752790627914,0.00067796610169492,4.0533810337869e-05,0.058999870159302,0.0013018998311242,1.6898499342593e-05
1.8422,0.00068727096363828,0.00082181144065508,0.00067796610169492,4.0548829575957e-05,0.058999788837847,0.0013085859097045,1.6323434034095e-05
2.6614,0.00068750914970563,0.00082617947894351,0.00067796610169492,4.0562725795812e-05,0.058999579256858,0.0013211856183724,1.5380503744946e-05
4.2998,0.00068773931390412,0.00083134127265963,0.00067796610169492,4.0575874100021e-05,0.058999003393805,0.0013441141058936,1.3994438184336e-05
7.5766,0.00068797781665837,0.00083879685932137,0.00067796610169492,4.0588727739922e-05,0.058997380977198,0.0013840689600793,1.2193253840844e-05
14.1302,0.00068825624540991,0.00085151289519581,0.00067796610169492,4.0601776326536e-05,0.058992894758054,0.0014505382605483,1.0142410349888e-05
27.2374,0.00068863995878474,0.00087485337793123,0.00067796610169492,4.0615483438026e-05,0.058981096935286,0.0015555642649935,8.0128482395322e-06
53.4518,0.00068926486827013,0.00091755084069152,0.00067796610169492,4.0630294380818e-05,0.058952240103445,0.0017134965324524,6.024637888292e-06
105.8806,0.00069039522642391,0.00099186202660456,0.00067796610169492,4.064668501422e-05,0.058887596303849,0.001940193570566,4.3239028570868e-06
210.7382,0.00069249179170402,0.0011111824780343,0.00067796610169492,4.0665155808406e-05,0.058756336809061,0.0022555235039694,3.0072205868095e-06
