time,cauchy_stress_xx,strain,strain_rate
0,0,0,nan
0.0001,3.0376404834318,2.9988e-05,0.29988
0.0003,9.1125571882162,8.9964e-05,0.29988
0.0007,21.260933497428,0.000209916,0.29988
0.0015,45.551859990314,0.00044982,0.29988
0.0031,94.110367010163,0.000929628,0.29988
0.0063,190.59537008661,0.001889244,0.29988
0.0127,303.62355445049,0.003808476,0.29988
0.0255,373.59852522389,0.00764694,0.29988
0.033346672002134,398.44207856167,0.01,0.29988
