time,D_avg,D_max,D_min,a,b,strain,strain_rate
0,-nan,-inf,inf,0,0,0,nan
0.001,0.067796610169492,0.067796610169492,0.067796610169492,0.004,0.059,2.1070415020947e-06,0.0021070415020947
0.003,0.075499306443771,0.26555063786085,0.067796610169492,0.0044544590801825,0.059,5.0893056575956e-06,0.0014911320777504
0.007,0.075616679653805,0.26555063786085,0.067796610169492,0.0044613840995285,0.058999999999693,1.0226639301501e-05,0.0012843334109764
0.015,0.075668388668838,0.26555063786085,0.067796610169492,0.0044644349313922,0.058999999999373,2.0496689076253e-05,0.001283756221844
0.031,0.075688020926806,0.26555063786085,0.067796610169492,0.0044655932345899,0.058999999999061,4.103532791109e-05,0.0012836649271773
0.063,0.075694300415379,0.26555063786085,0.067796610169492,0.0044659637243947,0.058999999998778,8.2115136360734e-05,0.0012837440140514
0.127,0.075696109789793,0.26555063786085,0.067796610169492,0.0044660704774616,0.058999999998445,0.00016428901940388,0.0012839669225492
0.255,0.07569661722806,0.26555063786085,0.067796610169492,0.0044661004162876,0.05899999999799,0.00032869523756808,0.0012844235794078
0.511,0.075696764406914,0.26555063786085,0.067796610169492,0.0044661090997949,0.05899999999735,0.00065774373318855,0.0012853456860175
1.023,0.07569681061312,0.26555063786085,0.067796610169492,0.0044661118258391,0.058999999995637,0.0012961716224727,0.001246929471258
1.1254,0.075698281765332,0.26555063786085,0.067796610169492,0.0044661129130816,0.058998791417704,0.0012979578804402,1.7443925464521e-05
1.2278,0.075698967953961,0.26555063786085,0.067796610169492,0.0044661166430526,0.058998275022906,0.0012997268731926,1.7275319847274e-05
1.4326,0.075699746967139,0.26555063786085,0.067796610169492,0.0044661203897226,0.058997682549695,0.0013031968473921,1.6943233395878e-05
1.8422,0.075701455653294,0.26555063786085,0.067796610169492,0.0044661226119901,0.058996299859756,0.0013098981693461,1.6360649301874e-05
2.6614,0.075705667513151,0.26555063786085,0.067796610169492,0.0044661241224295,0.058992840244876,0.0013225207947364,1.5408478259678e-05
4.2998,0.075716797828561,0.26555063786085,0.067796610169492,0.0044661255866554,0.058983690745879,0.0013454805179381,1.4013502930725e-05
7.5766,0.075746925070221,0.26555063786085,0.067796610169492,0.0044661281047183,0.058959101350692,0.00138547567787,1.2205554178436e-05
14.1302,0.075826531448353,0.26555063786085,0.067796610169492,0.0044661343839386,0.058895266017219,0.0014519966521132,1.0150295142078e-05
27.2374,0.076023243844991,0.26555063786085,0.067796610169492,0.0044661509759276,0.058742820539029,0.0015570870200366,8.0177587832236e-06
53.4518,0.076460116914517,0.26555063786085,0.067796610169492,0.0044661923010166,0.058422920574482,0.0017151015759391,6.0277769433024e-06
105.8806,0.077303924047197,0.29377796577754,0.067796610169492,0.0044662860396143,0.057852978462255,0.0019419139626073,4.3261029561645e-06
210.7382,0.078690975529021,0.33926742343612,0.067796610169492,0.0044664758841441,0.057003420888779,0.002257406407191,3.0087704141971e-06
420.4534,0.080636274940653,0.37128685295089,0.067796610169492,0.0044668194389354,0.055925655869468,0.0026920213179297,2.0724053894932e-06
839.8838,0.083036690595941,0.40447845848169,0.067796610169492,0.004467389443006,0.054708467654566,0.003291798051177,1.42997916519e-06
1678.7446,0.085753146471768,0.43299596879417,0.067796610169492,0.0044682837583839,0.053427953445787,0.0041202608133699,9.8760457300299e-07
3356.4662,0.088681746521582,0.46209614039162,0.067796610169492,0.0044696434919352,0.052133179480984,0.0052617883705373,6.8040344546281e-07
6711.9094,0.091821643727455,0.83219214142083,0.067796610169492,0.0044716862448738,0.050843506685203,0.0068377229948458,4.6966511735573e-07
13422.7958,0.095522718318765,1,0.067796610169492,0.0044747859921236,0.049529439320763,0.009049125504495,3.2952465260762e-07
23422.7958,0.10093331919119,1,0.067796610169492,0.0044796721410403,0.048094284443883,0.011570849996195,2.5217244916999e-07
33422.7958,0.11029713496038,1,0.067796610169492,0.0044859549467159,0.046542016474956,0.013727666584603,2.1568165884083e-07
43422.7958,0.12649880767622,1,0.067796610169492,0.0044918366143014,0.044782518741822,0.015691014651721,1.963348067118e-07
44422.7958,0.15216511021666,1,0.067796610169492,0.0044975427653905,0.042588239585891,0.015923112048664,2.3209739694338e-07
44522.7958,0.16822640149103,1,0.067796610169492,0.0044982110773159,0.041306560117981,0.015961890794825,3.8778746160754e-07
44532.7958,0.17521803079729,1,0.067796610169492,0.0044983681075762,0.040808819947734,0.015969693132307,7.802337481929e-07
44542.7958,0.17733100634426,1,0.067796610169492,0.00449839435708,0.040663519046021,0.015975410557598,5.7174252903851e-07
44562.7958,0.17855453821063,1,0.067796610169492,0.0044984164127152,0.040566081143637,0.015984114943455,4.3521929286479e-07
44602.7958,0.1795967657777,1,0.067796610169492,0.0044984470894033,0.040468663121439,0.015998759530384,3.6611467322386e-07
44682.7958,0.18062030310964,1,0.067796610169492,0.004498495008856,0.040362388188719,0.016024645301594,3.2357214012715e-07
44842.7958,0.18173188419419,1,0.067796610169492,0.0044985726233876,0.040237296729427,0.016071442092344,2.9247994219053e-07
45162.7958,0.18303497958899,1,0.067796610169492,0.0044987037618777,0.040081730533942,0.016156682675899,2.6637682360692e-07
45802.7958,0.18467107306369,1,0.067796610169492,0.0044989339233285,0.039880800588514,0.01631173437945,2.4226828679898e-07
47082.7958,0.18682413946031,1,0.067796610169492,0.0044993556687312,0.039616381803787,0.016593694183815,2.2028109716017e-07
49642.7958,0.18967221330323,1,0.067796610169492,0.004500144388644,0.039275551192858,0.017109110348024,2.0133443914426e-07
54762.7958,0.19330129581322,1,0.067796610169492,0.0045016361320475,0.038858245147839,0.018060345292813,1.8578807515406e-07
64762.7958,0.1978839453653,1,0.067796610169492,0.0045045072312995,0.038363327608151,0.019797020230972,1.736674938159e-07
64862.7958,0.20502952475278,1,0.067796610169492,0.0045100639771444,0.03772310535074,0.019820066216741,2.3045985768921e-07
64962.7958,0.20646090397224,1,0.067796610169492,0.0045101515739359,0.03764010130502,0.019840603450236,2.0537233495425e-07
65162.7958,0.2077113685609,1,0.067796610169492,0.0045102340896903,0.037568640676489,0.019880123624093,1.9760086928326e-07
65362.7958,0.20878798631235,1,0.067796610169492,0.004510372806957,0.037488611600419,0.01991898151074,1.9428943323416e-07
65762.7958,0.20945128177881,1,0.067796610169492,0.0045105073824522,0.03743308399942,0.019994150444245,1.8792233376371e-07
66562.7958,0.21015323473684,1,0.067796610169492,0.0045107534512494,0.037363364246761,0.020140049370252,1.8237365750812e-07
68162.7958,0.21102708860436,1,0.067796610169492,0.004511226846069,0.037270868056566,0.020423493054987,1.7715230295926e-07
71362.7958,0.21224395236916,1,0.067796610169492,0.0045121520656826,0.037138378005768,0.020974209482312,1.7209888353907e-07
77762.7958,0.21395248849497,1,0.067796610169492,0.0045139817471456,0.036951062118627,0.022045509918782,1.6739069319851e-07
78762.7958,0.2164787751537,1,0.067796610169492,0.0045176557578555,0.036686703239031,0.022216712223622,1.7120230483987e-07
79762.7958,0.21716100018886,1,0.067796610169492,0.0045182653257698,0.036630959103607,0.022385838751599,1.6912652797721e-07
81762.7958,0.21779275935595,1,0.067796610169492,0.0045188706192836,0.036577329149947,0.022720352877329,1.6725706286478e-07
85762.7958,0.21866998253357,1,0.067796610169492,0.0045200576930347,0.036492174079394,0.023380741896837,1.6509725487712e-07
93762.7958,0.22005970755002,1,0.067796610169492,0.0045224282368779,0.036354403874812,0.024685110202295,1.6304603818223e-07
103762.7958,0.22247682093383,1,0.067796610169492,0.0045272625231844,0.036125717340981,0.026313057067623,1.6279468653278e-07
113762.7958,0.22569252437651,1,0.067796610169492,0.0045335698659057,0.035848333687816,0.027947600229227,1.6345431616038e-07
114762.7958,0.22978832429421,1,0.067796610169492,0.0045401855829688,0.035542042786967,0.028119138705084,1.7153847585759e-07
115762.7958,0.23160320272697,1,0.067796610169492,0.004540906895743,0.035426941983857,0.028289825030684,1.7068632559972e-07
117762.7958,0.23305859588681,1,0.067796610169492,0.0045416240608976,0.035329189853577,0.028626432138558,1.6830355393697e-07
121762.7958,0.2346729913303,1,0.067796610169492,0.0045430255981939,0.035207875690038,0.029291990383048,1.6638956112251e-07
122562.7958,0.23677779561241,1,0.067796610169492,0.0045458241702932,0.035042338226511,0.029427877852124,1.6985933634488e-07
123362.7958,0.23768707452956,1,0.067796610169492,0.0045464142502133,0.034980004356366,0.029563335229823,1.6932172212381e-07
124962.7958,0.23842761200794,1,0.067796610169492,0.0045470037049284,0.034925049140837,0.029832189918605,1.6803418048853e-07
128162.7958,0.23930547620495,1,0.067796610169492,0.004548157579467,0.034853435717222,0.030366234908968,1.6688905948848e-07
134562.7958,0.24052090723506,1,0.067796610169492,0.004550462860505,0.034750439315078,0.031432975462867,1.6667821154667e-07
144562.7958,0.24254121619228,1,0.067796610169492,0.0045551623954745,0.034588029917859,0.033116853839369,1.6838783765026e-07
145062.7958,0.24564254596277,1,0.067796610169492,0.0045628431348155,0.034352595211879,0.033206291598298,1.7887551785684e-07
145562.7958,0.24643887853391,1,0.067796610169492,0.0045632745837041,0.034300130276137,0.033294013834207,1.7544447181973e-07
