time,cauchy_stress_zz,strain,strain_rate
0,0,0,nan
0.0001,3.0389402082391,2.9988e-05,0.29988
0.0003,9.1164559722153,8.9964e-05,0.29988
0.0007,21.270029197485,0.000209916,0.29988
0.0015,45.571344500659,0.00044982,0.29988
0.0031,94.150605133831,0.000929628,0.29988
0.0063,190.64427328143,0.001889244,0.29988
0.0127,300.0743666797,0.003808476,0.29988
0.0255,363.99757982154,0.00764694,0.29988
0.033346672002134,386.78316549874,0.01,0.29988
