time,D_avg,D_max,D_min,a,b,cauchy_stress_zz,strain,strain_rate
0,-nan,-inf,inf,0,0,0,0,nan
0.0001,0.00067796610169491,0.00067796610169492,0.00067796610169492,4e-05,0.059,3.0375014014969,2.9988e-05,0.29988
0.0003,0.00072957872194662,0.0012573866874415,0.00067796610169492,4.3045144594851e-05,0.059,9.1121403057814,8.9964e-05,0.29988
0.0007,0.00072985029958353,0.0012628515996197,0.00067796610169492,4.3061167675428e-05,0.059,21.259962975616,0.000209916,0.29988
0.0015,0.00073012385971652,0.0012678220267991,0.00067796610169492,4.3077307723275e-05,0.059,45.549788592844,0.00044982,0.29988
0.0031,0.00073043345270515,0.0012729330379698,0.00067796610169492,4.3095573709133e-05,0.058999999999545,94.106115854009,0.000929628,0.29988
0.0063,0.00073082332521801,0.0012788530285469,0.00067796610169492,4.3118576187454e-05,0.058999999999608,190.55752463685,0.001889244,0.29988
0.0127,0.00073136243356424,0.0012869892102005,0.00067796610169492,4.3150313139863e-05,0.058999931070676,300.01350470048,0.003808476,0.29988
0.0255,0.00076428947230597,0.0028980945148638,0.00067796610169492,4.3458704374766e-05,0.057737274089068,363.94789910333,0.00764694,0.29988
0.033346672002134,0.00096728413353436,0.0089604520774335,0.00067796610169492,4.4421402436859e-05,0.052367394071895,386.74129020296,0.01,0.29988
