time,cauchy_stress_yy,strain,strain_rate
0,0,0,nan
0.0001,3.0383220108678,2.9988e-05,0.29988
0.0003,9.1146019952465,8.9964e-05,0.29988
0.0007,21.265703941579,0.000209916,0.29988
0.0015,45.562079061852,0.00044982,0.29988
0.0031,94.131465713058,0.000929628,0.29988
0.0063,190.57668777764,0.001889244,0.29988
0.0127,299.34154324834,0.003808476,0.29988
0.0255,365.9747818237,0.00764694,0.29988
0.033346672002134,389.6441333845,0.01,0.29988
